,company_name,job_summary,job_title,City,State
0,Vacasa,"Experience with web analytics data a plus.We're looking for someone who is highly analytical and data driven, but also business-minded, practical and user…",Product Data Scientist,Boise, ID
1,Idaho National Laboratory,"The position specifically seeks a data scientist with the following qualifications.Demonstrated experience in data science, data analysis, and software…",DATA SCIENTIST,Idaho Falls, ID
2,Micron,"Collaborate with data scientists, data engineers and business process experts to access existing data in data warehouse and big data environments.",Data Scientist,Boise, ID
3,Micron,Follow best practices to ensure data quality and data integrity.Work with the Data Scientist/Engineers/Business Professionals to implement strategies for…,Intern- Technology Development Procurement Data Engineer,Boise, ID
4,"Amazon Web Services, Inc.","Work with our Professional Services Big Data consultants to analyze, extract, normalize, and label relevant data.Experience using data visualization tools.",Data Scientist - Nationwide Opportunities,Boise, ID
