,company_name,job_summary,job_title,City,State
0,SoFi,"Design and build data structures in Data Warehouse.Ideal candidates must be enthused about writing SQL, data problem solving and build data pipelines and…","Engineer, Data",Helena, MT
1,Jackpotjoy Group,"Leverage Big Data technologies to enhance our home-grown Data Platform.Thorough knowledge in Scala, Python, or Java.",Senior Big Data Engineer,Malta, MT
2,Providence Health & Services,"SQL, R, SAS, Python) and data visualization tools (e.g.We are seeking a Senior Clinical Data Engineer PSJH to be responsible for collecting, analyzing,…",Senior Clinical Data Engineer PSJH,Missoula, MT
3,Advanced Technology Group Inc,"Common activities may include, creating data strategies, data migration/conversions, data mapping, and data profiling.What does a Data Engineer do for ATG?",Data Engineer,Missoula, MT
