,company_name,job_summary,job_title,City,State
0,Grand Rounds,"Experience with advanced data visualization tools (e.g.Advanced degree in Data Science/Analytics, Mathematics, Statistics, Computer Science or Information…",Senior Data Analyst - Operations and Provider Insights,Reno, NV
1,Penn Interactive Ventures - NV,"Hands-on experience with BigQuery, R and Python and the related data analysis and web application packages.Troubleshoot data and infrastructure when needed.",Lead Data Analyst,Henderson, NV
2,DraftKings,"What you'll do as a Senior Business Data Analyst:Knowledge of data science language such as Python, R, or PySpark.We're reimagining sports and technology.",Senior Business Data Analyst,Las Vegas, NV
3,Zappos.com,"5+ years of relevant experience in a business analyst, data analyst or statistical analysis role.4+ years of experience as a Business Analyst or similar role.",Senior E-Commerce Analyst,Las Vegas, NV
4,LegalMatch,"Data Analyst – Predictive Analytics Modeler.Excellent knowledge of and experience with relational database structure, programming concepts, external data…",Data Analyst - Predictive Analytics Modeler,Reno, NV
