,company_name,job_summary,job_title,City,State
0,VeracityID,VeracityID’s development team is looking for a Senior Data Engineer with deep experience in building analytical solutions for distributed data environments.,VP Data Engineering,Reno, NV
1,"VeracityID, Inc.",VeracityID’s development team is looking for a mid-level Data Engineer with deep experience in building analytical solutions for distributed data environments.,Data Engineer,Las Vegas, NV
2,Accenture,The AWS Data Engineer is a highly performant engineer responsible for delivering Cloud based Big Data and Analytical Solutions at our clients.,AWS Data Engineer,Reno, NV
3,Accenture,The Azure Data Engineer is a highly performant engineer responsible for delivering Cloud based Big Data and Analytical Solutions at our clients.,Azure Data Engineer,Las Vegas, NV
4,Bombora,Data wrangler: Driven by data and the ability to leverage data to understand systems.Bombora Data Engineering is tasked with supporting Bombora Data Science to…,Senior Data Engineer,Reno, NV
