company,title,job_title,job_summary,city,state,state1,region
Central Point Partners,Data Analyst,Data Analyst,3 people on this team now...2 leads/mgr type and one consultant plus this one. MUST DO IN PERSON INTERVIEW*. Client is implementing a data governance program.,Columbus,OH, Ohio,Midwest
OhioGuidestone,Data Analyst,Quality Data Analyst,"Since 1864, we’ve been an integral part of the Berea community, proudly rooted in faith and a legacy of serving children and families.",Cleveland,OH, Ohio,Midwest
MTD Products Inc,Data Analyst,Data Analyst,3 of the 5 years working in Data Warehouse/Business Intelligence Environment. 5 years of experience in Information Technology.,Valley City,OH, Ohio,Midwest
Signet Jewelers,Data Analyst,Supply Chain Data Analyst,"Collaborate with both external and internal partners to prepare statistical analysis, run reports, update statistical models and perform analytical tasks needed…",Akron,OH, Ohio,Midwest
Avery Dennison,Data Analyst,Data Science Internship,"What we are looking for. Simply put, we are looking for future leaders for our organization. We are seeking innovators, collaborators, and problem solvers.",Mentor,OH, Ohio,Midwest
Akron Children's Hospital,Data Analyst,Business Analyst I - Kronos,"Strong organization, analysis and problem solving skills required, with an emphasis on attention to detail and the ability to work on multiple projects…",Akron,OH, Ohio,Midwest
"LEWCO, Inc.",Data Analyst,Data Analyst,"We have an immediate opportunity available in Sandusky, OH for a Data Analyst! Maintain bills of material and routings (SyteLine).",Sandusky,OH, Ohio,Midwest
Patriot Software,Data Analyst,Marketing Data Analyst,"Excellent attention to detail, superior communication skills, and ability to take raw data and produce usable insights. THE IDEAL CANDIDATE WILL HAVE.",Canton,OH, Ohio,Midwest
Wilberforce Univeristy,Data Analyst,Data Analyst,Wilberforce University is seeking to hire a part-time Data Analyst to assist in its renaissance as a premier liberal arts institution.,Wilberforce,OH, Ohio,Midwest
Aaratechinc,Data Analyst,Business Analyst,Be highly committed to the project delivery for strategic highly technical initiatives & tactical projects. Collaborate with (onshore and offshore) developers &…,Columbus,OH, Ohio,Midwest
The Surgical Hospital at Southwoods,Data Analyst,IT Business Analyst,"The Surgical Hospital at Southwoods in Youngstown, Ohio is currently seeking an IT Business Analyst to serve as a member of the hospital’s IT team to implement,…",Boardman,OH, Ohio,Midwest
OhioGuidestone,Data Analyst,Quality Data Analyst,"Since 1864, we’ve been an integral part of the Berea community, proudly rooted in faith and a legacy of serving children and families.",Cleveland,OH, Ohio,Midwest
Lubrizol Corporation,Data Scientist,Data Scientist/ Statistician Intern (BS/MS Students),"Lubrizol Additives is a pioneering global supplier of chemical additives technologies including additives for engine oils, driveline applications, gasoline and…",Wickliffe,OH, Ohio,Midwest
"My1HR, Inc.",Data Analyst,Business Analyst I,"Headquartered in Cuyahoga Falls, Ohio, My1HR, Inc. Provides cutting edge cloud-based software solutions and professional services to health insurance Issuers…",Cuyahoga Falls,OH, Ohio,Midwest
Arconic,Data Analyst,Intern - Data Analytics,Arconic Wheel and Transportation Products (AWTP) is a business with a rich tradition and a bright future. AWTP produces over 4 million Aluminum wheels globally…,Cleveland,OH, Ohio,Midwest
Abercrombie and Fitch Co.,Data Analyst,"Associate Data Analyst, Operational Analytics","The Operational Analytics and Reporting team in our Enterprise Business Solutions group works directly with Product Facing Teams (Merchandising, Planning,…",Columbus,OH, Ohio,Midwest
Fathom Digital Marketing,Data Analyst,Marketing Data Analyst,Fathom's Marketing Data Analysts support a wide range of analytics engagements for our clients across a variety of practical areas including digital marketing…,Cleveland,OH, Ohio,Midwest
Procter and Gamble,Data Analyst,Data Analyst Internship,Do you love diving into data sets? Would you enjoy telling stories and helping others see the benefit of data based decision-making? We want you to know:,Cincinnati,OH, Ohio,Midwest
Park Place Technologies,Data Analyst,Master Data Analyst I,3 to 5 years’ experience in Master Data Management (MDM) administration. Works across the whole organization to develop Data Governance and Data Management…,Mayfield Heights,OH, Ohio,Midwest
Acestack LLC,Data Analyst,IDQ Data Analyst,"Proficient in automating data validations using files, databases. Strong understanding of IDQ Process & Expertise to ensure data quality and reliability and…",Cincinnati,OH, Ohio,Midwest
CASS INF,Data Analyst,Data Analyst Associate,"The Data Analyst Associate performs duties associated with our address change service process. This individual creates various reports, monitors, and…",Columbus,OH, Ohio,Midwest
"PavCon, LLC",Data Analyst,Data Analyst,"We are looking for an experienced, smart, friendly data analyst who is excited to help a multi-disciplinary team uncover and solve technical and engineering…",Dayton,OH, Ohio,Midwest
Jobot,Data Analyst,(Remote) Business/Data Analyst,"We are on Forbes fasting growing companies list for 3 years running! Based in Austin, TX, our company offers outsourced sales support solutions to the hotel…",Columbus,OH, Ohio,Midwest
Progressive,Data Analyst,Data Analyst Senior,"The Financial Planning and Analysis Team in IT Control is seeking a team-oriented Analyst with balanced analytical relationship-building, and leadership…",Mayfield Village,OH, Ohio,Midwest
Fanatics Inc.,Data Analyst,Data Analyst I,Excellent Attention to Detail and Work with the Highest Level of Accuracy. Excellent Attention to Detail and Work with the Highest Level of Accuracy.,Frazeysburg,OH, Ohio,Midwest
BRS,Data Analyst,Sr. Data Analyst*,"Able to write complex SQL using a variety of User Interfaces (e.g., Microsoft SQL Server Management Studio, SSRS, Tableau).",Kent,WA, Washington,West
Progressive,Data Analyst,Data Analyst to Data Analyst Sr,Data Analyst to Data Analyst Sr. This exciting analyst opportunity is part of the Claims Control Field Staffing and Efficiency team.,Mayfield Heights,OH, Ohio,Midwest
Signet Jewelers,Data Scientist,Data Analytics Specialist,"Responsible for designing, monitoring, and managing the data functions for the Zale Corporation customer and marketing data marts.",Akron,OH, Ohio,Midwest
Great American Insurance Group,Data Analyst,Data Analyst - Passenger Transportation,"2 to 5 years of related underwriting, claims, or product experience. National Interstate is a member of Great American Insurance Group.",Richfield,OH, Ohio,Midwest
