,company_name,job_summary,job_title,City,State
0,Vesta Corporation,Data Analyst leverages all the data elements available to prepare and recommend actions that will optimize our machine learning models and complementary…,Associate Data Analyst,Lake Oswego, OR
1,LexisNexis SA,Are you the Senior Data Analyst Cirium (formerly FlightGlobal) is looking for?Cirium is looking for a business data analyst to work in a cross-functional agile…,Sr Data Analyst,Portland, OR
2,Cascade Data Labs,"Proficiency (can execute data ingestion to insight) in programmatic language such as SQL, R, Python (Pandas/Scipy/Numpy) OR at the very least, mastery level of…",Data Analyst/Data Scientst,Portland, OR
3,Kongregate,Working with data engineers to maintaining data integrity and transparency to increase data confidence across all programs that rely on it.,Senior Data Analyst,Portland, OR
4,Tarim Consulting,We are seeking a Senior Data Analyst to join us.Experience in a consulting or analyst role is preferred.The successful candidate will have a strong background…,Senior Data Analyst,Portland, OR
5,BICP,Strong data wrangling experience with structured and unstructured data.Strong SQL and Python knowledge is required.Provide feedback to team members on work.,"Data Analyst, Advanced Analytics",Portland, OR
6,KinderCare Education,Understanding of data warehousing concepts and relational data models.Minimum 3 years as a Data Analyst or similar role for Business Intelligence projects.,Senior BI Data Analyst,Portland, OR
7,Trilogy Ed,Trilogy Education is seeking an experienced Data Analyst who has a passion for teaching individuals how to code.What makes your a great fit (Requirements):,Data Analytics Teaching Assistant - University of Oregon,Portland, OR
8,BICP,Strong data wrangling experience with structured and unstructured data.Strong SQL and Python knowledge is required.Provide feedback to team members on work.,"Data Analyst, Advanced Analytics",Portland, OR
