,company_name,job_summary,job_title,City,State
0,Caesars Las Vegas_Corporate,"Extensive background in data processing, database programming, data analytics and statistical analysis.Present information using data visualization techniques …",Sr. Data Scientist,Las Vegas, NV
1,Accenture,"At least 5 years of experience in developing data ingestion, data processing and analytical pipelines for big data, relational databases, NoSQL and data…",AWS Data Engineer,Reno, NV
2,Accenture,"Data Governance, Data Quality, MDM, Lineage, Data Catalog etc.At least 5 years of experience in developing data ingestion, data processing and analytical…",Azure Data Engineer,Las Vegas, NV
3,Panasonic Energy of North America,Educating other members on statistical analysis and data science.Providing data analysis support to production teams to resolve complex manufacturing process…,Data Scientist,Sparks, NV
