,company_name,job_summary,job_title,City,State
0,iVinci Health,"5+ years’ experience as a combination of Business Intelligence Developer, Data Engineer, and Database Administrator.(Bonus) Python, PowerShell, .NET, C#, R.",Business Intelligence Architect,Boise, ID
1,Vacasa,"You'll be an embedded data engineer on a cross-functional team of engineers, data scientists, machine learning engineers, and product managers that is moving…",Data Engineer,Boise, ID
2,Micron,"Follow best practices to ensure data quality and data integrity.As a Procurement Data Engineer at Micron Technology Inc., you will be a key member of a cross…",Intern- Technology Development Procurement Data Engineer,Boise, ID
3,Micron,"IT Data Engineer, Big Data.Participate in design, development, and deployment of Data Warehouse data models.Design, develop, code, test, enhance and debug ETL…","IT Data Engineer, Big Data",Boise, ID
